Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,74.27,77.11,73.14,76.89,1085100,76.89
2009-01-05,76.07,76.55,73.61,75.0,1139700,75.0
2009-01-06,74.57,80.0,74.57,78.62,1486700,78.62
2009-01-07,76.34,76.4,73.86,75.08,1388800,75.08
2009-01-08,74.71,77.16,73.81,77.06,1041700,77.06
2009-01-09,77.25,77.25,74.08,75.2,642400,75.2
2009-01-12,74.0,74.0,71.19,72.16,1408000,72.16
2009-01-13,71.38,74.62,69.57,70.95,1679600,70.95
2009-01-14,70.29,70.85,68.12,69.05,2098700,69.05
2009-01-15,69.37,73.17,68.02,70.9,1925500,70.9
2009-01-16,72.68,72.93,69.52,71.13,1476700,71.13
2009-01-20,70.0,71.93,65.24,66.04,2145600,66.04
2009-01-21,66.68,68.16,64.95,68.0,1625300,68.0
2009-01-22,66.47,68.83,65.84,67.37,1229000,67.37
2009-01-23,66.22,70.11,66.0,68.92,1435200,68.92
2009-01-26,69.26,70.53,65.81,66.99,987300,66.99
2009-01-27,68.55,69.09,66.2,67.25,961400,67.25
2009-01-28,68.44,70.04,68.23,69.27,1250300,69.27
2009-01-29,68.35,69.12,66.76,67.65,668000,67.65
2009-01-30,67.85,69.82,66.83,67.09,1396700,67.09
2009-02-02,66.28,68.85,65.1,68.5,1729700,68.5
2009-02-03,68.44,71.18,67.21,69.83,1610500,69.83
2009-02-04,69.0,72.0,68.54,70.76,1510300,70.76
2009-02-05,69.84,73.38,68.62,72.67,1782100,72.67
2009-02-06,73.02,75.02,72.38,74.47,1689900,74.47
2009-02-09,74.6,76.46,72.8,74.01,1253700,74.01
2009-02-10,73.83,74.82,71.17,71.83,1188700,71.83
2009-02-11,72.38,73.17,71.26,71.97,829600,71.97
2009-02-12,71.3,72.28,70.24,72.21,1207000,72.21
2009-02-13,72.0,73.98,72.0,72.66,1120600,72.66
2009-02-17,70.62,71.27,68.23,68.87,2359200,68.87
2009-02-18,69.01,70.79,67.58,68.74,3269700,68.74
2009-02-19,79.92,81.73,78.92,80.16,6106600,80.16
2009-02-20,78.98,84.85,78.52,83.75,2371700,83.75
2009-02-23,84.18,84.95,81.09,81.9,1590000,81.9
2009-02-24,82.92,85.71,82.0,84.85,1320200,84.85
2009-02-25,85.11,88.1,82.0,86.68,2052100,86.68
2009-02-26,87.0,88.89,84.82,85.16,1465900,85.16
2009-02-27,84.21,85.96,83.59,84.86,960100,84.86
2009-03-02,82.94,83.83,81.56,82.99,1362300,82.99
2009-03-03,83.27,84.88,82.1,82.65,1198900,82.65
2009-03-04,83.05,84.63,82.72,82.96,904500,82.96
2009-03-05,82.18,83.89,81.2,82.37,979800,82.37
2009-03-06,83.38,83.68,81.24,83.59,995600,83.59
2009-03-09,83.02,83.5,77.76,78.36,1772400,78.36
2009-03-10,78.77,82.41,78.77,81.28,1670700,81.28
2009-03-11,81.82,81.82,72.0,75.94,4381300,75.94
